genre
-
8-bit
electra
electric blues
electro
electro house
electro latino
electro swing
electro-industrial
electroclash
electrofox
electronic
electronic rock
electronic trap
electropop
electropowerpop
emo
emo punk
emo rap
english indie rock
english renaissance
enka
entehno
epic doom
epicore
erotica
escape room
essex indie
estonian pop
ethereal wave
etherpop
ethio-jazz
euro hi-nrg
eurodance
europop
euroska
eurovision
exotica
experimental
experimental hip hop
experimental pop
experimental rock
fake
family gospel
fidget house
filmi
filter house
filthstep
fingerstyle
finnish death metal
finnish edm
finnish metal
finnish rockabilly
flamenco
flamenco guitar
florida death metal
florida rap
focus
folk
folk brasileiro
folk metal
folk punk
folk rock
folk-pop
folkmusik
folktronica
forro
fort worth indie
fourth world
francoton
freak folk
freakbeat
free improvisation
free jazz
freestyle
french death metal
french indie pop
french jazz
french metal
french opera
french pop
french reggae
french rock
french shoegaze
french soundtrack
french worship
funana
funeral doom
funk
funk carioca
funk das antigas
funk metal
funk ostentacao
funk rock
funky breaks
funky tech house
future funk
future garage
future house
future rock
futurepop
g funk
gabba
gaian doom
gainesville indie
gangster rap
garage pop
garage psych
garage punk
garage rock
gauze pop
gbvfi
geek rock
german baroque
german country
german dance
german hard rock
german hip hop
german metal
german metalcore
german pop
german pop rock
german punk
german rock
german ska
german soundtrack
german techno
german thrash metal
ghanaian hip hop
ghazal
girl group
glam metal
glam rock
glitch
glitch hop
go-go
goregrind
gospel
gospel r&b
gospel rap
gospel reggae
gospel singers
gothenburg indie
gothenburg metal
gothic alternative
gothic americana
gothic metal
gothic rock
gothic symphonic metal
grand rapids indie
grave wave
greek contemporary classical
greek guitar
grime
grindcore
groove metal
grunge
grunge pop
grupera
gruperas inmortales
gymcore
gypsy jazz
gypsy punk
haitian gospel
halloween
hamburg electronic
hampton roads indie
hands up
happy hardcore
hard alternative
hard bop
hard glam
hard rock
hardcore
hardcore hip hop
hardcore punk
hardcore techno
hardstyle
harmonica blues
harp
hawaiian
hawaiian hip hop
healing
heartland rock
hi-nrg
hindustani classical
hip hop
hip house
hip pop
historically informed performance
hoerspiel
hollywood
hopebeat
horror punk
horror synth
horrorcore
house
houston rap
hurdy-gurdy
hyperpop
hyphy
icelandic classical
icelandic indie
icelandic pop
icelandic rock
idaho indie
idol
idol rock
indian classical
indian folk
indian indie
indian jazz
indiana indie
indie anthem-folk
indie dream pop
indie electro-pop
indie folk
indie garage rock
indie jazz
indie pop
indie pop rap
indie pop rock
indie poptimism
indie psych-pop
indie punk
indie r&b
indie rock
indie rockism
indie shoegaze
indie surf
indiecoustica
indietronica
indonesian hip hop
indonesian jazz
industrial
industrial metal
industrial rock
indy indie
instrumental acoustic guitar
instrumental funk
instrumental grime
instrumental math rock
instrumental post-rock
instrumental progressive metal
instrumental rock
intelligent dance music
irish contemporary classical
irish country
irish dance
irish folk
irish pop
irish rock
irish singer-songwriter
israeli mediterranean
israeli pop
italian disco
italian metal
italian opera
italian pop
italian pop rock
italian progressive rock
italian soundtrack
italo dance
italo house
j-division
j-idol
j-metal
j-pop
j-pop boy group
j-pop girl group
j-poprock
j-rock
jacksonville indie
jam band
jamgrass
jamtronica
jangle pop
japanese city pop
japanese heavy metal
japanese r&b
jawaiian
jazz
jazz blues
jazz boom bap
jazz clarinet
jazz cubano
jazz double bass
jazz drums
jazz electric bass
jazz funk
jazz fusion
jazz guitar
jazz metal
jazz orchestra
jazz organ
jazz piano
jazz rap
jazz saxophone
jazz trio
jazz trombone
jazz trumpet
jazz vibraphone
jazz violin
jazztronica
jersey club
jewish pop
jig and reel
jordanian pop
jug band
jump blues
jump up
jungle
k-hop
k-indie
k-pop
k-pop boy group
k-pop girl group
kansas indie
karaoke
kawaii future bass
kawaii metal
kc indie
kent indie
kentucky indie
kentucky metal
kids dance party
kingston on indie
kirtan
kiwi rock
korean pop
korean r&b
krautrock
kwaito house
la indie
la pop
laboratorio
lafayette indie
lancaster pa indie
late romantic era
latin
latin afrobeat
latin alternative
latin arena pop
latin classical
latin hip hop
latin jazz
latin metal
latin pop
latin rock
latin soundtrack
latin talent show
latin viral pop
latin worship
lawrence ks indie
lds
lds youth
leicester indie
lexington ky indie
lgbtq+ hip hop
library music
light music
lilith
limerick indie
liquid funk
liverpool indie
livetronica
lo-fi
lo-fi beats
louisiana blues
louisiana metal
louisville indie
lounge
louvor
lovers rock
lullaby
madchester
makossa
malaysian indie
malaysian pop
mambo
mande pop
mangue bit
manitoba indie
marching band
mariachi
math rock
mathcore
mbalax
medieval folk
meditation
medway sound
melancholia
melbourne bounce
melbourne bounce international
melbourne indie
mellow gold
melodic death metal
melodic deathcore
melodic hard rock
melodic hardcore
melodic metalcore
melodic progressive metal
melodic thrash
meme rap
memphis americana
memphis blues
memphis hip hop
memphis indie
memphis soul
merengue
merseybeat
messianic praise
metal
metal guitar
metalcore
metallic hardcore
metropopolis
mexican electronic
mexican hip hop
mexican indie
mexican pop
mexican rock
mexican rock-and-roll
miami bass
miami hip hop
miami metal
michigan indie
microhouse
microtonal
middle earth
midwest emo
military cadence
military rap
milwaukee hip hop
minimal
minimal techno
minneapolis indie
minneapolis sound
minnesota hip hop
mod revival
modern alternative rock
modern blues
modern blues rock
modern bollywood
modern country rock
modern hard rock
modern reggae
modern rock
modern salsa
modern ska punk
modern southern rock
modern uplift
monastic
moog
moombahton
motown
movie tunes
mpb
music box
musica de fondo
musica infantil
musica para ninos
muzica crestina
naija worship
nashville indie
nashville singer-songwriter
nashville sound
native american
native american hip hop
nc hip hop
nederpop
neo classical metal
neo mellow
neo r&b
neo soul
neo soul-jazz
neo-classical
neo-progressive
neo-psychedelic
neo-rockabilly
neo-singer-songwriter
neo-synthpop
neo-trad metal
neo-traditional country
neoclassical
neon pop punk
neue deutsche harte
neue deutsche welle
neurofunk
new age
new age piano
new americana
new beat
new england americana
new french touch
new jack smooth
new jack swing
new jersey indie
new jersey punk
new jersey rap
new mexico music
new orleans blues
new orleans funk
new orleans jazz
new orleans rap
new rave
new romantic
new tribe
new wave
new wave of thrash metal
new wave pop
new weird america
nica
nigerian hip hop
nigerian pop
nightrun
ninja
nintendocore
nl folk
no wave
noise pop
noise rock
nordic house
nordic post-rock
nordic soundtrack
norman ok indie
norsk lovsang
norteno
north carolina emo
north carolina indie
northern irish indie
northern soul
norwegian black metal
norwegian blues
norwegian hip hop
norwegian indie
norwegian metal
norwegian pop
norwegian rock
norwegian space disco
nottingham indie
nova mpb
nu disco
nu gaze
nu jazz
nu metal
nu-cumbia
nu-metalcore
nursery
nwobhm
nwocr
nwothm
nyc pop
nyc rap
nyhc
nz electronic
nz hip hop
nz pop
nz singer-songwriter
oakland indie
oceania soundtrack
ohio indie
oi
ok indie
okc indie
old school dancehall
old school hip hop
old school nederhop
old school thrash
old school uk hip hop
old-time
olympia wa indie
omaha indie
one-person band
ontario indie
opera
operatic pop
opm
oratory
orchestra
orchestral performance
