Album of the Year#Album_of_the_Year
Best Album Cover#Best_Recording_Package
Best Arrangement#Best_Arrangement
Best Classical Performance - Chamber Music (including Chamber Orchestra)#Best_Chamber_Music/Small_Ensemble_Performance
Best Classical Performance - Instrumentalist (other than Concerto Scale Accompaniment)#Best_Classical_Instrumental_Solo
Best Classical Performance - Instrumentalist (other than concerto-scale accompaniment)#Best_Classical_Instrumental_Solo
Best Classical Performance - Instrumentalist (with Concerto Scale Accompaniment)#Best_Classical_Instrumental_Solo
Best Classical Performance - Operatic or Choral#Best_Opera_Recording
Best Classical Performance - Orchestra#Best_Orchestral_Performance
Best Classical Performance - Vocal Soloist (with or without Orchestra)#Best_Classical_Solo_Vocal_Album
Best Comedy Performance#Best_Comedy_Album
Best Country & Western Performance#Best_Country_Solo_Performance
Best Country and Western Performance#Best_Country_Solo_Performance
Best Engineered Record (Classical)#Best_Engineered_Album,_Classical
Best Engineered Record - Non-Classical#Best_Engineered_Album,_Non-Classical
Best Instrumental Arrangement#Best_Arrangement,_Instrumental_or_A_Cappella
Best Instrumental Composition#Best_Instrumental_Composition
"Best Jazz Performance, Group"#Best_Jazz_Performance
"Best Jazz Performance, Individual"#Best_Jazz_Performance
Best Musical Composition First Recorded and Released in 1958 (over 5 minutes duration)#Best_Original_Jazz_Composition
Best Original Cast Album (Broadway or TV)#Best_Musical_Theater_Album
Best Performance by a Dance Band#Best_Performance_by_an_Orchestra_–_for_Dancing
Best Performance by a Vocal Group or Chorus#Best_Performance_by_a_Vocal_Group
Best Performance by an Orchestra - for Other Than Dancing#Best_Performance_by_an_Orchestra_or_Instrumentalist_with_Orchestra
"Best Performance, Documentary or Spoken Word"#Best_Spoken_Word_Album
Best R&B Vocal Performance by a Duo or Group#Best_R&B_Performance_by_a_Duo_or_Group_with_Vocals
Best Recording for Children#Best_Children's_Music_Album
Best Rhythm & Blues Performance#Best_R&B_Performance
"Best Sound Track Album, Dramatic Picture Score or Original Cast"#Best_Compilation_Soundtrack_for_Visual_Media
"Best Soundtrack Album, Dramatic Picture Score or Original Cast"#Best_Score_Soundtrack_Album_for_Visual_Media
"Best Vocal Performance, Female"#Best_Female_Pop_Vocal_Performance
"Best Vocal Performance, Male"#Best_Male_Pop_Vocal_Performance
Record of the Year#Record_of_the_Year
Song of the Year#Song_of_the_Year
Best Album Created For Children#Best_Album_for_Children
Best Classical Opera Production#Best_Opera_Recording
Best Classical Performance - Vocal Or Instrumental - Chamber Music#Best_Chamber_Music/Small_Ensemble_Performance
Best Classical Performance- Choral (Including Oratorio)#Best_Choral_Performance
Best Classical Performance- Concerto Or Instrumental Soloist#Best_Classical_Instrumental_Solo
Best Classical Performance- Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment)#Best_Classical_Instrumental_Solo
Best Classical Performance- Orchestra#Best_Orchestral_Performance
Best Classical Performance- Vocal Soloist#Best_Classical_Solo_Vocal_Album
Best Comedy Performance - Musical#Best_Comedy_Album
Best Comedy Performance - Spoken Word#Best_Spoken_Word_Album
Best Contemporary Classical Composition#Best_Contemporary_Classical_Composition
Best Engineering Contribution - Classical Recording#Best_Engineered_Album,_Classical
Best Engineering Contribution - Novelty Recording#Best_Engineered_Recording_–_Special_or_Novel_Effects
Best Engineering Contribution - Popular Recording#Best_Engineered_Album,_Non-Classical
Best Jazz Composition Of More Than Five Minutes Duration#Best_Original_Jazz_Composition
Best Jazz Performance Large Group#Best_Large_Jazz_Ensemble_Album
Best Jazz Performance Solo or Small Group#Best_Jazz_Instrumental_Album
Best New Artist#Best_New_Artist
Best Performance By A Pop Single Artist#Best_Pop_Solo_Performance
Best Performance by a Band For Dancing#Best_Performance_by_an_Orchestra_–_for_Dancing
Best Performance by a Chorus (7 Or More Persons)#Best_Performance_by_a_Chorus
Best Performance by a Vocal Group (2 To 6)#Best_Performance_by_a_Vocal_Group
Best Performance by an Orchestra#Best_Performance_by_an_Orchestra_or_Instrumentalist_with_Orchestra
Best Performance- Documentary or Spoken Word (Other Than Comedy)#Best_Spoken_Word_Album
Best Performance- Folk#Best_Folk_Album
Best Show Album (Original Cast)#Best_Musical_Theater_Album
Best Soundtrack Album or Recording of Music Score from Motion Picture or Television#Best_Score_Soundtrack_Album_for_Visual_Media
Best Soundtrack Album or Recording of Original Cast from a Motion Picture or TV#Best_Compilation_Soundtrack_for_Visual_Media
"Best Vocal Performance Album, Female"#Best_Female_Pop_Vocal_Performance
"Best Vocal Performance Album, Male"#Best_Male_Pop_Vocal_Performance
"Best Vocal Performance Single Record Or Track, Female"#Best_Female_Pop_Vocal_Performance
"Best Vocal Performance Single Record or Track, Female"#Best_Female_Pop_Vocal_Performance
"Best Vocal Performance Single Record or Track, Male"#Best_Male_Pop_Vocal_Performance
Best Spoken Word Album#Best_Spoken_Word_Album
