category
Album of the Year
Best Album Cover
Best Arrangement
Best Classical Performance - Chamber Music (including Chamber Orchestra)
Best Classical Performance - Instrumentalist (other than Concerto Scale Accompaniment)
Best Classical Performance - Instrumentalist (other than concerto-scale accompaniment)
Best Classical Performance - Instrumentalist (with Concerto Scale Accompaniment)
Best Classical Performance - Operatic or Choral
Best Classical Performance - Orchestra
Best Classical Performance - Vocal Soloist (with or without Orchestra)
Best Comedy Performance
Best Country & Western Performance
Best Country and Western Performance
Best Engineered Record (Classical)
Best Engineered Record - Non-Classical
Best Instrumental Arrangement
Best Instrumental Composition
"Best Jazz Performance, Group"
"Best Jazz Performance, Individual"
Best Musical Composition First Recorded and Released in 1958 (over 5 minutes duration)
Best Original Cast Album (Broadway or TV)
Best Performance by a Dance Band
Best Performance by a Vocal Group or Chorus
Best Performance by an Orchestra - for Other Than Dancing
"Best Performance, Documentary or Spoken Word"
Best R&B Vocal Performance by a Duo or Group
Best Recording for Children
Best Rhythm & Blues Performance
"Best Sound Track Album, Dramatic Picture Score or Original Cast"
"Best Soundtrack Album, Dramatic Picture Score or Original Cast"
"Best Vocal Performance, Female"
"Best Vocal Performance, Male"
Record of the Year
Song of the Year
Best Album Created For Children
Best Classical Opera Production
Best Classical Performance - Vocal Or Instrumental - Chamber Music
Best Classical Performance- Choral (Including Oratorio)
Best Classical Performance- Concerto Or Instrumental Soloist
Best Classical Performance- Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment)
Best Classical Performance- Orchestra
Best Classical Performance- Vocal Soloist
Best Comedy Performance - Musical
Best Comedy Performance - Spoken Word
Best Contemporary Classical Composition
Best Engineering Contribution - Classical Recording
Best Engineering Contribution - Novelty Recording
Best Engineering Contribution - Popular Recording
Best Jazz Composition Of More Than Five Minutes Duration
Best Jazz Performance Large Group
Best Jazz Performance Solo or Small Group
Best New Artist
Best Performance By A Pop Single Artist
Best Performance by a Band For Dancing
Best Performance by a Chorus (7 Or More Persons)
Best Performance by a Vocal Group (2 To 6)
Best Performance by an Orchestra
