artist_id,name,followers,genres,popularity,uri,href,external_urls,images
22p5npx84cXYat7kgGocRZ,Fun Factory,82193,eurodance,42,spotify:artist:22p5npx84cXYat7kgGocRZ,https://api.spotify.com/v1/artists/22p5npx84cXYat7kgGocRZ,https://open.spotify.com/artist/22p5npx84cXYat7kgGocRZ,"https://i.scdn.co/image/ab6761610000e5ebf742c8b812fc39ccf92e8ac4, https://i.scdn.co/image/ab67616100005174f742c8b812fc39ccf92e8ac4, https://i.scdn.co/image/ab6761610000f178f742c8b812fc39ccf92e8ac4"
3aTuTR5Nf6pVW3837q2ZL7,Maxi Priest,234213,"lovers rock, reggae, reggae fusion",52,spotify:artist:3aTuTR5Nf6pVW3837q2ZL7,https://api.spotify.com/v1/artists/3aTuTR5Nf6pVW3837q2ZL7,https://open.spotify.com/artist/3aTuTR5Nf6pVW3837q2ZL7,"https://i.scdn.co/image/ab6761610000e5eb937e32099de65df5521d06e9, https://i.scdn.co/image/ab67616100005174937e32099de65df5521d06e9, https://i.scdn.co/image/ab6761610000f178937e32099de65df5521d06e9"
41ZMMuFFLPTVPkUsSI5KlV,Jimmy Reed,141914,"blues, chicago blues, harmonica blues, traditional blues",42,spotify:artist:41ZMMuFFLPTVPkUsSI5KlV,https://api.spotify.com/v1/artists/41ZMMuFFLPTVPkUsSI5KlV,https://open.spotify.com/artist/41ZMMuFFLPTVPkUsSI5KlV,"https://i.scdn.co/image/d041fbf9c61082509aa8f46084c49a9d606f57f1, https://i.scdn.co/image/497074abfa33d05b7a1d25353da3119a998caf3e, https://i.scdn.co/image/ccaa66f1390cd7f0fbbae411bbf25517cbb071ee, https://i.scdn.co/image/a6561cd6d2d918193bf8ae31e26a6efa463c96c9"
7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,1035081,"la indie, stomp and holler",64,spotify:artist:7giUHu5pv6YTZgSkxxCcgh,https://api.spotify.com/v1/artists/7giUHu5pv6YTZgSkxxCcgh,https://open.spotify.com/artist/7giUHu5pv6YTZgSkxxCcgh,"https://i.scdn.co/image/a463748ab96b61a7b839d1e4328e2d33e9a512c6, https://i.scdn.co/image/5a3fe5db609887e8490d35de806a8c51ba02588a, https://i.scdn.co/image/940a038e44f6f1659066341a08139b7846a5d78b, https://i.scdn.co/image/dfe3fd01b4fd6bf997cc8ae07445761f44829147"
4TshyQDihSYXSWqvclXl3I,Parmalee,271845,"contemporary country, country road, modern country rock, modern uplift",61,spotify:artist:4TshyQDihSYXSWqvclXl3I,https://api.spotify.com/v1/artists/4TshyQDihSYXSWqvclXl3I,https://open.spotify.com/artist/4TshyQDihSYXSWqvclXl3I,"https://i.scdn.co/image/ab6761610000e5eb86618b56bc84053c9d14d8f7, https://i.scdn.co/image/ab6761610000517486618b56bc84053c9d14d8f7, https://i.scdn.co/image/ab6761610000f17886618b56bc84053c9d14d8f7"
6qI4LTzMRpTxRzMZPvv2C6,Peaches & Herb,192106,"classic soul, disco, funk, post-disco, quiet storm, soul",49,spotify:artist:6qI4LTzMRpTxRzMZPvv2C6,https://api.spotify.com/v1/artists/6qI4LTzMRpTxRzMZPvv2C6,https://open.spotify.com/artist/6qI4LTzMRpTxRzMZPvv2C6,"https://i.scdn.co/image/4e21f76c0f422879a0f63d270a85ece383d18cdb, https://i.scdn.co/image/6ea840e5e7c7b033c2dc9d4fb141b027a00b678d, https://i.scdn.co/image/f1eef4840de69ef3e66ccd3d009e83c1edc9bb0e, https://i.scdn.co/image/804974ce0f572efa24d186bdebbd84b047c8a21c"
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,10024395,"dance pop, pop",66,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,https://api.spotify.com/v1/artists/4Rxn7Im3LGfyRkY2FlHhWi,https://open.spotify.com/artist/4Rxn7Im3LGfyRkY2FlHhWi,"https://i.scdn.co/image/ab6761610000e5eb780447f701c671015c2109a0, https://i.scdn.co/image/ab67616100005174780447f701c671015c2109a0, https://i.scdn.co/image/ab6761610000f178780447f701c671015c2109a0"
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,7491970,"melodic rap, mississippi hip hop, pop rap, rap, trap",72,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,https://api.spotify.com/v1/artists/7iZtZyCzp3LItcw1wtPI3D,https://open.spotify.com/artist/7iZtZyCzp3LItcw1wtPI3D,"https://i.scdn.co/image/ab6761610000e5ebca1568791bf7ac0cf34dbc66, https://i.scdn.co/image/ab67616100005174ca1568791bf7ac0cf34dbc66, https://i.scdn.co/image/ab6761610000f178ca1568791bf7ac0cf34dbc66"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,27555978,"chicago rap, hip hop, rap",93,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,"https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a, https://i.scdn.co/image/ab676161000051746e835a500e791bf9c27a422a, https://i.scdn.co/image/ab6761610000f1786e835a500e791bf9c27a422a"
4ETSs924pXMzjIeD6E9b4u,Surfaces,949395,bedroom soul,67,spotify:artist:4ETSs924pXMzjIeD6E9b4u,https://api.spotify.com/v1/artists/4ETSs924pXMzjIeD6E9b4u,https://open.spotify.com/artist/4ETSs924pXMzjIeD6E9b4u,"https://i.scdn.co/image/ab6761610000e5ebcfdf34f73285254900911485, https://i.scdn.co/image/ab67616100005174cfdf34f73285254900911485, https://i.scdn.co/image/ab6761610000f178cfdf34f73285254900911485"
