artist_id,name,followers,genres,popularity,uri,href,external_urls,images
3tM3DTmG7ahfACzwqtazLD,Vikki Carr,44723,,52,spotify:artist:3tM3DTmG7ahfACzwqtazLD,https://api.spotify.com/v1/artists/3tM3DTmG7ahfACzwqtazLD,https://open.spotify.com/artist/3tM3DTmG7ahfACzwqtazLD,"https://i.scdn.co/image/ab6761610000e5eb2fbc25347ed3663097dd1d45, https://i.scdn.co/image/ab676161000051742fbc25347ed3663097dd1d45, https://i.scdn.co/image/ab6761610000f1782fbc25347ed3663097dd1d45"
4mxWe1mtYIYfP040G38yvS,Alan Jackson,2882512,country,74,spotify:artist:4mxWe1mtYIYfP040G38yvS,https://api.spotify.com/v1/artists/4mxWe1mtYIYfP040G38yvS,https://open.spotify.com/artist/4mxWe1mtYIYfP040G38yvS,"https://i.scdn.co/image/ab6772690000c46c1dce50b93ca0b1e2f459d9e6, https://i.scdn.co/image/ab6772690000dd221dce50b93ca0b1e2f459d9e6, https://i.scdn.co/image/ab6772690000bac31dce50b93ca0b1e2f459d9e6, https://i.scdn.co/image/ab67726900008f741dce50b93ca0b1e2f459d9e6"
7ERhQyRZQpfYARqiv4L9Dh,Alton McClain & Destiny,970,,17,spotify:artist:7ERhQyRZQpfYARqiv4L9Dh,https://api.spotify.com/v1/artists/7ERhQyRZQpfYARqiv4L9Dh,https://open.spotify.com/artist/7ERhQyRZQpfYARqiv4L9Dh,"https://i.scdn.co/image/ab67616d0000b273c346afbcf451ccef2a89454d, https://i.scdn.co/image/ab67616d00001e02c346afbcf451ccef2a89454d, https://i.scdn.co/image/ab67616d00004851c346afbcf451ccef2a89454d"
4AYkFtEBnNnGuoo8HaHErd,Madness,794523,"britpop, new romantic, new wave, ska, ska revival",62,spotify:artist:4AYkFtEBnNnGuoo8HaHErd,https://api.spotify.com/v1/artists/4AYkFtEBnNnGuoo8HaHErd,https://open.spotify.com/artist/4AYkFtEBnNnGuoo8HaHErd,"https://i.scdn.co/image/ab6761610000e5eb9bcd17a96a1b01fabe28884d, https://i.scdn.co/image/ab676161000051749bcd17a96a1b01fabe28884d, https://i.scdn.co/image/ab6761610000f1789bcd17a96a1b01fabe28884d"
5qgKwBbFL1JN9lzW1ukrwl,Robin S.,48,,0,spotify:artist:5qgKwBbFL1JN9lzW1ukrwl,https://api.spotify.com/v1/artists/5qgKwBbFL1JN9lzW1ukrwl,https://open.spotify.com/artist/5qgKwBbFL1JN9lzW1ukrwl,
1Fj0R2t4HaJa3oUe8azB8R,Ty Herndon,137086,"country, country road",40,spotify:artist:1Fj0R2t4HaJa3oUe8azB8R,https://api.spotify.com/v1/artists/1Fj0R2t4HaJa3oUe8azB8R,https://open.spotify.com/artist/1Fj0R2t4HaJa3oUe8azB8R,"https://i.scdn.co/image/ab6761610000e5ebb4c447162dec7324966d30c6, https://i.scdn.co/image/ab67616100005174b4c447162dec7324966d30c6, https://i.scdn.co/image/ab6761610000f178b4c447162dec7324966d30c6"
2SHhfs4BiDxGQ3oxqf0UHY,Roxette,2354382,"europop, swedish pop, synthpop",74,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,https://api.spotify.com/v1/artists/2SHhfs4BiDxGQ3oxqf0UHY,https://open.spotify.com/artist/2SHhfs4BiDxGQ3oxqf0UHY,"https://i.scdn.co/image/ab6761610000e5eb347ca7e9f41f3ff8e2b19034, https://i.scdn.co/image/ab67616100005174347ca7e9f41f3ff8e2b19034, https://i.scdn.co/image/ab6761610000f178347ca7e9f41f3ff8e2b19034"
7vWlb4pM85jCHvV771qZZW,Tony! Toni! Toné!,1066258,"contemporary r&b, new jack swing, r&b, urban contemporary",56,spotify:artist:7vWlb4pM85jCHvV771qZZW,https://api.spotify.com/v1/artists/7vWlb4pM85jCHvV771qZZW,https://open.spotify.com/artist/7vWlb4pM85jCHvV771qZZW,"https://i.scdn.co/image/0052c043eab388b7bcecdc5e9ef859c1dfe0f148, https://i.scdn.co/image/84dce321e54f588492d42cde7d41088669588173, https://i.scdn.co/image/4849001a94c51d424e32929f4b4be3b5278a5a74, https://i.scdn.co/image/3d0bab87ce2176c7417cd6d36b10980df447af1d"
34E3csCxpXunPGEkOVVX2g,Albert Hammond,128380,"classic uk pop, rock of gibraltar",57,spotify:artist:34E3csCxpXunPGEkOVVX2g,https://api.spotify.com/v1/artists/34E3csCxpXunPGEkOVVX2g,https://open.spotify.com/artist/34E3csCxpXunPGEkOVVX2g,"https://i.scdn.co/image/ab6761610000e5ebd17ed8020a7dbfb9410ff3ca, https://i.scdn.co/image/ab67616100005174d17ed8020a7dbfb9410ff3ca, https://i.scdn.co/image/ab6761610000f178d17ed8020a7dbfb9410ff3ca"
4ucP0bNegd7Q4ewdOKIBfz,Jack Scott,16409,"canadian rockabilly, doo-wop, rock-and-roll, rockabilly, traditional rockabilly",32,spotify:artist:4ucP0bNegd7Q4ewdOKIBfz,https://api.spotify.com/v1/artists/4ucP0bNegd7Q4ewdOKIBfz,https://open.spotify.com/artist/4ucP0bNegd7Q4ewdOKIBfz,"https://i.scdn.co/image/ab67616d0000b27345f82bd4ba36ff5f2c4707bd, https://i.scdn.co/image/ab67616d00001e0245f82bd4ba36ff5f2c4707bd, https://i.scdn.co/image/ab67616d0000485145f82bd4ba36ff5f2c4707bd"
72NXpYBIaTfEeAAsxXLs0P,Tony Orlando & Dawn,168257,"adult standards, bubblegum pop, classic country pop, soft rock",49,spotify:artist:72NXpYBIaTfEeAAsxXLs0P,https://api.spotify.com/v1/artists/72NXpYBIaTfEeAAsxXLs0P,https://open.spotify.com/artist/72NXpYBIaTfEeAAsxXLs0P,"https://i.scdn.co/image/5761f0bf0d3ad46af08b9a78bf4583e0a9bdb994, https://i.scdn.co/image/ea3cdcc79d097f3e488c6f5b349f900fe0b56456, https://i.scdn.co/image/c74b9f090b10c2cac816be37118aadaccca432f4, https://i.scdn.co/image/bc18d63326018a76751e8371be572b8a3055c383"
5e4Dhzv426EvQe3aDb64jL,Shania Twain,3134118,"canadian country, canadian pop, contemporary country, country, country dawn",73,spotify:artist:5e4Dhzv426EvQe3aDb64jL,https://api.spotify.com/v1/artists/5e4Dhzv426EvQe3aDb64jL,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,"https://i.scdn.co/image/ab6761610000e5eb01022f4092cb96e0a91811a5, https://i.scdn.co/image/ab6761610000517401022f4092cb96e0a91811a5, https://i.scdn.co/image/ab6761610000f17801022f4092cb96e0a91811a5"
3LfO03nEZMdWNHG2tLpMa0,Tavares,306586,"disco, motown, quiet storm",51,spotify:artist:3LfO03nEZMdWNHG2tLpMa0,https://api.spotify.com/v1/artists/3LfO03nEZMdWNHG2tLpMa0,https://open.spotify.com/artist/3LfO03nEZMdWNHG2tLpMa0,"https://i.scdn.co/image/657139eb6fd4b5ddc68d7954d8b0672948b6f791, https://i.scdn.co/image/276603dd55b36aa38ecbb987e937dc530e44186f, https://i.scdn.co/image/ac798c736b245697cfb4e95e9a7ce7f6f976a354, https://i.scdn.co/image/b807bf65bedb374490eedeb8e72e1fc045c8b725"
