artist_id,name,followers,genres,popularity,uri,href,external_urls,images
0gUYUWF7eKFA4jgSqbcZEL,Young and Restless,16,,0,spotify:artist:0gUYUWF7eKFA4jgSqbcZEL,https://api.spotify.com/v1/artists/0gUYUWF7eKFA4jgSqbcZEL,https://open.spotify.com/artist/0gUYUWF7eKFA4jgSqbcZEL,"https://i.scdn.co/image/ab67616d0000b273f8e0aaec12c04e8101e041e4, https://i.scdn.co/image/ab67616d00001e02f8e0aaec12c04e8101e041e4, https://i.scdn.co/image/ab67616d00004851f8e0aaec12c04e8101e041e4"
7mEIug7XUlQHikrFxjTWes,Neil Diamond,2912252,"adult standards, brill building pop, folk rock, mellow gold, singer-songwriter, soft rock, yacht rock",69,spotify:artist:7mEIug7XUlQHikrFxjTWes,https://api.spotify.com/v1/artists/7mEIug7XUlQHikrFxjTWes,https://open.spotify.com/artist/7mEIug7XUlQHikrFxjTWes,"https://i.scdn.co/image/f4d0fb18cb338eddee6b482779d946183a743b12, https://i.scdn.co/image/d2168417cfe6c5fd132df666bf46802f94eedf55, https://i.scdn.co/image/a4adcb389a6359610d984cb1c4b62db8d5064999"
4pZJw2pjpyxcqdOUmYdwSY,The Ovations,4654,"memphis soul, southern soul",21,spotify:artist:4pZJw2pjpyxcqdOUmYdwSY,https://api.spotify.com/v1/artists/4pZJw2pjpyxcqdOUmYdwSY,https://open.spotify.com/artist/4pZJw2pjpyxcqdOUmYdwSY,"https://i.scdn.co/image/ab67616d0000b273bb68cdbf8dd3b40754f04c7d, https://i.scdn.co/image/ab67616d00001e02bb68cdbf8dd3b40754f04c7d, https://i.scdn.co/image/ab67616d00004851bb68cdbf8dd3b40754f04c7d"
3IKV7o6WPphDB7cCWXaG3E,Isaac Hayes,714019,"classic soul, disco, funk, memphis soul, quiet storm, soul, southern soul",50,spotify:artist:3IKV7o6WPphDB7cCWXaG3E,https://api.spotify.com/v1/artists/3IKV7o6WPphDB7cCWXaG3E,https://open.spotify.com/artist/3IKV7o6WPphDB7cCWXaG3E,"https://i.scdn.co/image/ab6761610000e5eb21359c0ca388c85629ed7d29, https://i.scdn.co/image/ab6761610000517421359c0ca388c85629ed7d29, https://i.scdn.co/image/ab6761610000f17821359c0ca388c85629ed7d29"
3rxIQc9kWT6Ueg4BhnOwRK,Quincy Jones,356755,soul jazz,57,spotify:artist:3rxIQc9kWT6Ueg4BhnOwRK,https://api.spotify.com/v1/artists/3rxIQc9kWT6Ueg4BhnOwRK,https://open.spotify.com/artist/3rxIQc9kWT6Ueg4BhnOwRK,"https://i.scdn.co/image/ab6761610000e5ebe79e47fbc540635fd5e18e4d, https://i.scdn.co/image/ab67616100005174e79e47fbc540635fd5e18e4d, https://i.scdn.co/image/ab6761610000f178e79e47fbc540635fd5e18e4d"
1I5Cu7bqjkRg85idwYsD91,Duane Eddy,107175,"rock-and-roll, rockabilly, surf music",43,spotify:artist:1I5Cu7bqjkRg85idwYsD91,https://api.spotify.com/v1/artists/1I5Cu7bqjkRg85idwYsD91,https://open.spotify.com/artist/1I5Cu7bqjkRg85idwYsD91,"https://i.scdn.co/image/427b1b9c5b3c5f8d3341b65d491342528be05896, https://i.scdn.co/image/f06e0e8c5dfb027e43a718c599d1999b10fa46c9, https://i.scdn.co/image/3c91f1fc58ff0218510879ed62bc1f759d134851, https://i.scdn.co/image/d8e358833b848f3e6cec38f29e136dbbe83b5fbc"
6eFek3d0IKoYQvVCqpS5z3,Goody Goody,4882,deep disco,22,spotify:artist:6eFek3d0IKoYQvVCqpS5z3,https://api.spotify.com/v1/artists/6eFek3d0IKoYQvVCqpS5z3,https://open.spotify.com/artist/6eFek3d0IKoYQvVCqpS5z3,"https://i.scdn.co/image/ab67616d0000b273899162439600cf2ab74ed9f0, https://i.scdn.co/image/ab67616d00001e02899162439600cf2ab74ed9f0, https://i.scdn.co/image/ab67616d00004851899162439600cf2ab74ed9f0"
2gBjLmx6zQnFGQJCAQpRgw,Nelly,3060508,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",76,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,https://api.spotify.com/v1/artists/2gBjLmx6zQnFGQJCAQpRgw,https://open.spotify.com/artist/2gBjLmx6zQnFGQJCAQpRgw,"https://i.scdn.co/image/3677690af58abb70a5c5fd58d69db4d1ad705d4f, https://i.scdn.co/image/67f24249e5cffd1aa7446195d91110baa90be253, https://i.scdn.co/image/21daa12d457ad51f11604307d371d0ed7c312ec1, https://i.scdn.co/image/0e9958a7cd6d43078f2b7ed1b8f243c3bb2081b7"
4x1nvY2FN8jxqAFA0DA02H,John Lennon,6186747,"classic rock, rock",71,spotify:artist:4x1nvY2FN8jxqAFA0DA02H,https://api.spotify.com/v1/artists/4x1nvY2FN8jxqAFA0DA02H,https://open.spotify.com/artist/4x1nvY2FN8jxqAFA0DA02H,"https://i.scdn.co/image/ab6761610000e5ebba4ddda6af00a6927a4f307c, https://i.scdn.co/image/ab67616100005174ba4ddda6af00a6927a4f307c, https://i.scdn.co/image/ab6761610000f178ba4ddda6af00a6927a4f307c"
360IAlyVv4PCEVjgyMZrxK,Miguel,5311473,"r&b, urban contemporary",81,spotify:artist:360IAlyVv4PCEVjgyMZrxK,https://api.spotify.com/v1/artists/360IAlyVv4PCEVjgyMZrxK,https://open.spotify.com/artist/360IAlyVv4PCEVjgyMZrxK,"https://i.scdn.co/image/ab6761610000e5eb4669166b571594eade778990, https://i.scdn.co/image/ab676161000051744669166b571594eade778990, https://i.scdn.co/image/ab6761610000f1784669166b571594eade778990"
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,20536459,pop,83,spotify:artist:69GGBxA162lTqCwzJG5jLp,https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,"https://i.scdn.co/image/ab6761610000e5eb44434ab91c37f5407f8e83b6, https://i.scdn.co/image/ab6761610000517444434ab91c37f5407f8e83b6, https://i.scdn.co/image/ab6761610000f17844434ab91c37f5407f8e83b6"
085pc2PYOi8bGKj0PNjekA,will.i.am,4213323,"dance pop, pop",75,spotify:artist:085pc2PYOi8bGKj0PNjekA,https://api.spotify.com/v1/artists/085pc2PYOi8bGKj0PNjekA,https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA,"https://i.scdn.co/image/ab6761610000e5ebc9ab8da6f7a3ce02f0b16fd8, https://i.scdn.co/image/ab67616100005174c9ab8da6f7a3ce02f0b16fd8, https://i.scdn.co/image/ab6761610000f178c9ab8da6f7a3ce02f0b16fd8"
1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,2007532,"comedy rap, indie pop rap, pop rap",61,spotify:artist:1tqhsYv8yBBdwANFNzHtcr,https://api.spotify.com/v1/artists/1tqhsYv8yBBdwANFNzHtcr,https://open.spotify.com/artist/1tqhsYv8yBBdwANFNzHtcr,"https://i.scdn.co/image/ab6761610000e5ebfd1780645d82ecbc3b5253cb, https://i.scdn.co/image/ab67616100005174fd1780645d82ecbc3b5253cb, https://i.scdn.co/image/ab6761610000f178fd1780645d82ecbc3b5253cb"
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,9484412,"east coast hip hop, gangster rap, hip hop, pop rap, rap",85,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,https://api.spotify.com/v1/artists/3nFkdlSjzX9mRTtwJOzDYB,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,"https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4, https://i.scdn.co/image/ab67616100005174c75afcd5a9027f60eaebb5e4, https://i.scdn.co/image/ab6761610000f178c75afcd5a9027f60eaebb5e4"
6EJmqnuK0r6qiAevFFiNNR,Paul Davis,142303,"soft rock, yacht rock",45,spotify:artist:6EJmqnuK0r6qiAevFFiNNR,https://api.spotify.com/v1/artists/6EJmqnuK0r6qiAevFFiNNR,https://open.spotify.com/artist/6EJmqnuK0r6qiAevFFiNNR,"https://i.scdn.co/image/b34b220d7703779d990fe1a92187e5a78096bb3d, https://i.scdn.co/image/7fb9a7adf5fe2603da53a149407788ac8fd36b5d, https://i.scdn.co/image/e8388e1ef19c8e2a602ca05187e9082d859869cd"
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,10867655,contemporary country,91,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,https://api.spotify.com/v1/artists/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,"https://i.scdn.co/image/ab6761610000e5ebdf42c758479fe40372584e77, https://i.scdn.co/image/ab67616100005174df42c758479fe40372584e77, https://i.scdn.co/image/ab6761610000f178df42c758479fe40372584e77"
48AAcsCOmZzOSj3RW8Qtpc,Tragedy Khadafi,52182,"conscious hip hop, east coast hip hop, queens hip hop",44,spotify:artist:48AAcsCOmZzOSj3RW8Qtpc,https://api.spotify.com/v1/artists/48AAcsCOmZzOSj3RW8Qtpc,https://open.spotify.com/artist/48AAcsCOmZzOSj3RW8Qtpc,"https://i.scdn.co/image/ab67616d0000b273f5341006e70ca26cc73e65eb, https://i.scdn.co/image/ab67616d00001e02f5341006e70ca26cc73e65eb, https://i.scdn.co/image/ab67616d00004851f5341006e70ca26cc73e65eb"
3VywyHDMK3Cj2fY4hQLuMV,Big Sister,36,,2,spotify:artist:3VywyHDMK3Cj2fY4hQLuMV,https://api.spotify.com/v1/artists/3VywyHDMK3Cj2fY4hQLuMV,https://open.spotify.com/artist/3VywyHDMK3Cj2fY4hQLuMV,"https://i.scdn.co/image/ab67616d0000b2734a7fcd4da90c52c81a3cfbd2, https://i.scdn.co/image/ab67616d00001e024a7fcd4da90c52c81a3cfbd2, https://i.scdn.co/image/ab67616d000048514a7fcd4da90c52c81a3cfbd2"
19y5MFBH7gohEdGwKM7QsP,Luther Vandross,3259774,"quiet storm, soul",65,spotify:artist:19y5MFBH7gohEdGwKM7QsP,https://api.spotify.com/v1/artists/19y5MFBH7gohEdGwKM7QsP,https://open.spotify.com/artist/19y5MFBH7gohEdGwKM7QsP,"https://i.scdn.co/image/ab6761610000e5ebc609e4ef97e896a2b32b1473, https://i.scdn.co/image/ab67616100005174c609e4ef97e896a2b32b1473, https://i.scdn.co/image/ab6761610000f178c609e4ef97e896a2b32b1473"
0u2FHSq3ln94y5Q57xazwf,Keith Urban,5175735,"contemporary country, country, country road",71,spotify:artist:0u2FHSq3ln94y5Q57xazwf,https://api.spotify.com/v1/artists/0u2FHSq3ln94y5Q57xazwf,https://open.spotify.com/artist/0u2FHSq3ln94y5Q57xazwf,"https://i.scdn.co/image/ab6761610000e5eb054c067d4cfa3b8094f3400f, https://i.scdn.co/image/ab67616100005174054c067d4cfa3b8094f3400f, https://i.scdn.co/image/ab6761610000f178054c067d4cfa3b8094f3400f"
6zLBxLdl60ekBLpawtT63I,Cody Johnson,1466127,"classic texas country, contemporary country, modern country pop",77,spotify:artist:6zLBxLdl60ekBLpawtT63I,https://api.spotify.com/v1/artists/6zLBxLdl60ekBLpawtT63I,https://open.spotify.com/artist/6zLBxLdl60ekBLpawtT63I,"https://i.scdn.co/image/ab6761610000e5ebb1fa84619efb4bdf4f5e9c4b, https://i.scdn.co/image/ab67616100005174b1fa84619efb4bdf4f5e9c4b, https://i.scdn.co/image/ab6761610000f178b1fa84619efb4bdf4f5e9c4b"
