Macro Genre,Sub Genres
Indie,"alabama indie, alaska indie, albuquerque indie, ann arbor indie, athens indie, atlanta indie, auckland indie, austindie, australian indie, baltimore indie, bath indie, bay area indie, belgian indie, bergen indie, brazilian indie, brighton indie, british indie rock, brooklyn indie, buffalo ny indie, canadian indie, cape town indie, channel islands indie, charlotte nc indie, charlottesville indie, chicago indie, christian indie, cincinnati indie, cleveland indie, columbus ohio indie, coventry indie, dallas indie, deep indie singer-songwriter, denton tx indie, denver indie, derry indie, detroit indie, devon indie, duluth indie, dutch indie, eau claire indie, edmonton indie, el paso indie, english indie rock, essex indie, fort worth indie, french indie pop, gainesville indie, gothenburg indie, grand rapids indie, hampton roads indie, icelandic indie, idaho indie, indian indie, indiana indie, indie anthem-folk, indie dream pop, indie electro-pop, indie folk, indie garage rock, indie jazz, indie pop, indie pop rap, indie pop rock, indie poptimism, indie psych-pop, indie punk, indie r&b, indie rock, indie rockism, indie shoegaze, indie surf, indiecoustica, indietronica, indy indie, jacksonville indie, k-indie, kansas indie, kc indie, kent indie, kentucky indie, kingston on indie, la indie, lafayette indie, lancaster pa indie, lawrence ks indie, leicester indie, lexington ky indie, limerick indie, liverpool indie, louisville indie, malaysian indie, manitoba indie, melbourne indie, memphis indie, mexican indie, michigan indie, minneapolis indie, nashville indie, new jersey indie, norman ok indie, north carolina indie, northern irish indie, norwegian indie, nottingham indie, oakland indie, ohio indie, ok indie, okc indie, olympia wa indie, omaha indie, ontario indie, oth indie, ottawa indie, oxford indie, perth indie, philly indie, pinoy indie, portland indie, quebec indie, reading indie, rhode island indie, rochester ny indie, rosario indie, sacramento indie, san diego indie, san marcos tx indie, saskatchewan indie, scottish indie, seattle indie, sheffield indie, slc indie, south carolina indie, south dakota indie, southampton indie, springfield mo indie, st petersburg fl indie, stl indie, swedish indie pop, swedish indie rock, tampa indie, toronto indie, triangle indie, tucson indie, tulsa indie, vancouver indie, vegas indie, vermont indie, victoria bc indie, washington indie, welsh indie, western mass indie, wisconsin indie"
Industrial,"electro-industrial, industrial metal, industrial rock"
Jazz,"acid jazz, australian jazz, avant-garde jazz, belgian modern jazz, bossa nova jazz, british jazz, canadian modern jazz, contemporary jazz, cool jazz, dark jazz, deep free jazz, deep jazz fusion, deep vocal jazz, ethio-jazz, free jazz, french jazz, gypsy jazz, indian jazz, indie jazz, indonesian jazz, jazz blues, jazz boom bap, jazz clarinet, jazz cubano, jazz double bass, jazz drums, jazz electric bass, jazz funk, jazz fusion, jazz guitar, jazz metal, jazz orchestra, jazz organ, jazz piano, jazz rap, jazz saxophone, jazz trio, jazz trombone, jazz trumpet, jazz vibraphone, jazz violin, jazztronica, latin jazz, neo soul-jazz, new orleans jazz, nu jazz, progressive jazz fusion, smooth jazz, soul jazz, south african jazz, spiritual jazz, vintage jazz, vocal jazz"
Latin,"canadian latin, deep latin christian, electro latino, latin afrobeat, latin alternative, latin arena pop, latin classical, latin hip hop, latin jazz, latin metal, latin pop, latin rock, latin soundtrack, latin talent show, latin viral pop, latin worship, modern salsa, rap latina, salsa, salsa choke, salsa international, salsa peruana, samba, trap latino"
Metal,"alabama metal, alternative metal, atmospheric black metal, atmospheric post-metal, australian metal, australian metalcore, avantgarde metal, birmingham metal, black metal, boston metal, brazilian metal, brazilian thrash metal, british black metal, brutal death metal, buffalo ny metal, canadian metal, celtic metal, christian metal, comic metal, danish metal, dark black metal, death metal, deep melodic metalcore, doom metal, drone metal, dutch metal, finnish death metal, finnish metal, florida death metal, folk metal, french death metal, french metal, funk metal, german metal, german metalcore, german thrash metal, glam metal, gothenburg metal, gothic metal, gothic symphonic metal, groove metal, industrial metal, instrumental progressive metal, italian metal, j-metal, japanese heavy metal, jazz metal, kawaii metal, kentucky metal, latin metal, louisiana metal, melodic death metal, melodic metalcore, melodic progressive metal, metal guitar, metalcore, metallic hardcore, miami metal, neo classical metal, neo-trad metal, new wave of thrash metal, norwegian black metal, norwegian metal, nu metal, nu-metalcore, oriental metal, oulu metal, pagan black metal, polish black metal, polish death metal, polish metal, portland metal, post-doom metal, post-metal, power metal, progressive metal, progressive metalcore, rap metal, sci-fi metal, sludge metal, speed metal, stoner metal, swedish black metal, swedish death metal, swedish doom metal, swedish metal, swiss metal, symphonic black metal, symphonic death metal, symphonic metal, technical brutal death metal, technical death metal, thrash metal, uk doom metal, uk metalcore, vancouver metal, viking metal, virginia metal, welsh metal"
Modern,"american modern classical, belgian modern jazz, british modern classical, canadian modern jazz, early modern classical, modern alternative rock, modern blues, modern blues rock, modern bollywood, modern country rock, modern hard rock, modern reggae, modern rock, modern salsa, modern ska punk, modern southern rock, modern uplift"
Noise,"noise pop, noise rock"
Pop,"acoustic pop, afropop, alternative pop, alternative pop rock, antiviral pop, art pop, australian electropop, australian pop, austropop, baile pop, baroque pop, bedroom pop, belgian pop, beninese pop, bow pop, boy pop, brill building pop, britpop, bubblegum pop, canadian electropop, canadian pop, canadian pop punk, candy pop, chamber pop, channel pop, chicago pop punk, chinese idol pop, christian pop, classic belgian pop, classic danish pop, classic greek pop, classic italian pop, classic norwegian pop, classic nz pop, classic swedish pop, classic uk pop, collage pop, colombian pop, country pop, dance pop, danish pop, deep acoustic pop, deep dance pop, deep indian pop, deep pop edm, deep pop r&b, desi pop, dominican pop, dream pop, dutch pop, ecuadorian pop, electropop, electropowerpop, estonian pop, etherpop, europop, experimental pop, folk-pop, french indie pop, french pop, futurepop, garage pop, gauze pop, german pop, german pop rock, grunge pop, hip pop, hyperpop, icelandic pop, indie dream pop, indie electro-pop, indie pop, indie pop rap, indie pop rock, indie poptimism, indie psych-pop, irish pop, israeli pop, italian pop, italian pop rock, j-pop, j-pop boy group, j-pop girl group, j-poprock, jangle pop, japanese city pop, jewish pop, jordanian pop, k-pop, k-pop boy group, k-pop girl group, korean pop, la pop, latin arena pop, latin pop, latin viral pop, malaysian pop, mande pop, metropopolis, mexican pop, nederpop, neo-synthpop, neon pop punk, new wave pop, nigerian pop, noise pop, norwegian pop, nyc pop, nz pop, operatic pop, panamanian pop, persian pop, polynesian pop, pop edm, pop emo, pop folk, pop house, pop nacional, pop punk, pop quebecois, pop rap, pop reggaeton, pop rock, pop romantico, popgaze, popping, post-teen pop, power pop, power-pop punk, regional mexican pop, reunion pop, romanian pop, scandipop, sertanejo pop, shimmer pop, shiver pop, socal pop punk, south african pop, space age pop, spanish pop, spanish pop rock, stomp pop, sunshine pop, swamp pop, swedish electropop, swedish indie pop, swedish pop, swedish synthpop, synthpop, teen pop, texas pop punk, transpop, twee pop, uk alternative pop, uk pop, uk pop punk, underground power pop, vapor pop, vintage dutch pop, vintage swedish pop, viral pop"
Punk,"acoustic punk, anarcho-punk, argentine punk, boston punk, brazilian punk, canadian pop punk, canadian punk, celtic punk, chicago pop punk, chicago punk, christian punk, cowpunk, crust punk, cyberpunk, dance-punk, deep gothic post-punk, deep punk rock, emo punk, folk punk, garage punk, german punk, gypsy punk, hardcore punk, horror punk, indie punk, modern ska punk, neon pop punk, new jersey punk, pop punk, post-punk, power-pop punk, protopunk, punk blues, russian punk, screamo punk, ska punk, skate punk, socal pop punk, steampunk, street punk, texas pop punk, texas punk, uk pop punk, uk post-punk, vancouver punk, virginia punk"
R&B,"alternative r&b, australian r&b, canadian contemporary r&b, deep pop r&b, gospel r&b, indie r&b, japanese r&b, korean r&b, neo r&b, r&b brasileiro, scandinavian r&b, uk contemporary r&b"
Reggae,"afro dancehall, australian reggae fusion, brazilian reggae, dancehall, east coast reggae, french reggae, gospel reggae, modern reggae, old school dancehall, pop reggaeton, reggae en espanol, reggae fusion, reggae rock, reggaeton, reggaeton flow, roots reggae, skinhead reggae, trinidadian reggae, uk reggae, virgin islands reggae, west coast reggae"
Rock,"african rock, album rock, alternative pop rock, alternative rock, alternative roots rock, american post-rock, argentine rock, art rock, australian alternative rock, australian rock, belgian rock, blues-rock, boston rock, brazilian rock, british alternative rock, british indie rock, british post-rock, canadian post-rock, canadian rock, celtic rock, christian alternative rock, christian hard rock, christian rock, cinematic post-rock, classic canadian rock, classic garage rock, classic psychedelic rock, classic rock, classic russian rock, comedy rock, cosmic post-rock, country rock, czech rock, dance rock, danish alternative rock, deep christian rock, deep classic garage rock, deep melodic hard rock, deep punk rock, deep soft rock, dutch rock, electronic rock, english indie rock, experimental rock, finnish rockabilly, folk rock, french rock, funk rock, future rock, garage rock, geek rock, german hard rock, german pop rock, german rock, glam rock, gothic rock, hard rock, heartland rock, icelandic rock, idol rock, indie garage rock, indie pop rock, indie rock, indie rockism, industrial rock, instrumental math rock, instrumental post-rock, instrumental rock, irish rock, italian pop rock, italian progressive rock, j-poprock, j-rock, kiwi rock, krautrock, latin rock, lovers rock, math rock, melodic hard rock, mexican rock, mexican rock-and-roll, modern alternative rock, modern blues rock, modern country rock, modern hard rock, modern rock, modern southern rock, neo-rockabilly, noise rock, nordic post-rock, norwegian rock, piano rock, pittsburgh rock, pop rock, post-rock, progressive rock, psychedelic blues-rock, psychedelic rock, pub rock, puerto rican rock, rap rock, reggae rock, rock alternativo brasileiro, rock cristiano, rock en espanol, rock gaucho, rock gospel brasileiro, rock nacional brasileiro, rock steady, rock-and-roll, rockabilly, roots rock, russian rock, scottish rock, sleaze rock, soft rock, south african rock, southern rock, space rock, spanish pop rock, stoner rock, swedish alternative rock, swedish hard rock, swedish indie rock, swedish rockabilly, swiss rock, symphonic rock, traditional rockabilly, trash rock, welsh rock, yacht rock"
Romantic,"american romanticism, early romantic era, late romantic era, new romantic, pop romantico, post-romantic era, romantico"
Soul,"british soul, chicago soul, classic soul, deep northern soul, deep southern soul, memphis soul, neo soul, neo soul-jazz, northern soul, philly soul, post-disco soul, retro soul, smooth soul, soul blues, soul flow, soul jazz, southern soul, southern soul blues, swedish soul, traditional soul, trap soul, vapor soul"
Soundtrack,"anime score, british soundtrack, canadian soundtrack, classic soundtrack, deep soundtrack, french soundtrack, german soundtrack, italian soundtrack, latin soundtrack, nordic soundtrack, oceania soundtrack, scorecore, vintage italian soundtrack"
World Music,"african rock, afro dancehall, afro house, afrobeat, afropop, canadian celtic, celtic, celtic metal, celtic punk, celtic rock, fourth world, latin afrobeat, south african alternative, south african hip hop, south african jazz, south african pop, south african rock, world, world fusion, world meditation, world worship"
Unclassified,"-, 8-bit, a cappella, abstract beats, acoustic opm, adoracao, adult standards, afrikaans, alt-idol, alternative americana, alternative emo, ambeat, american choir, american shoegaze, anglican liturgy, anime, anthem emo, atmosphere, atmospheric sludge, audiophile vocal, aussietronica, australian americana, australian psych, australian talent show, avant-garde, axe, azonto, bachata, background music, bagpipe, balearic, ballroom, banda, banda caliente, banjo, bass trip, basshall, bassline, bboy, beach music, bebop, belgian edm, big band, big beat, big room, birmingham grime, black thrash, blackgaze, blaskapelle, bluegrass, bmore, bolero, boogaloo, boogie-woogie, boom bap, bossa nova, bounce, bouzouki, boy band, brass band, brazilian edm, breakbeat, british brass band, british choir, british invasion, british singer-songwriter, broadway, brostep, brutal deathcore, bubble trance, c86, cabaret, calypso, canadian indigenous, canadian singer-songwriter, cantautor, canterbury scene, canzone napoletana, cartoon, catstep, cedm, cello, chamber orchestra, chamber psych, champeta, chanson, chanson quebecois, chicago drill, chillhop, chillwave, chiptune, choral, choro, christelijk, christmas product, chutney, classic bollywood, classic girl group, classic opm, classic praise, classic schlager, classify, college a cappella, comedienne, comic, complextro, concert band, contrabass, corrosion, cosmic american, coverchill, cowboy western, crossover thrash, crunk, cuban alternative, cuban rumba, cubaton, cumbia, dakke dak, dansband, dansktop, dark cabaret, dark wave, darkstep, death 'n' roll, deathcore, deathgrass, deathgrind, deep adult standards, deep big room, deep chiptune, deep cumbia sonidera, deep disco, deep freestyle, deep motown, deep new americana, deep new wave, deep progressive trance, deep ragga, deep regional mexican, deep surf music, deep talent show, denpa-kei, didgeridoo, disco, disney, dixieland, djent, doo-wop, downtempo, dreamgaze, dreamo, drill, drill and bass, drone, drum and bass, dub, dubstep, duranguense, dutch prog, dutch urban, e6fi, early avant garde, early music, early music ensemble, easy listening, easycore, ebm, edm, electra, electro, electro swing, electroclash, electrofox, emo, english renaissance, enka, entehno, epic doom, epicore, erotica, escape room, ethereal wave, euro hi-nrg, euroska, eurovision, exotica, fake, filmi, filthstep, fingerstyle, finnish edm, flamenco, flamenco guitar, focus, forro, francoton, freakbeat, free improvisation, freestyle, french opera, french shoegaze, funana, funeral doom, future garage, gabba, gaian doom, garage psych, gbvfi, genre, german ska, ghazal, girl group, glitch, glitch hop, go-go, goregrind, gothic alternative, gothic americana, grave wave, greek guitar, grime, grindcore, grunge, grupera, gruperas inmortales, gymcore, halloween, hands up, hard alternative, hard bop, hard glam, hardstyle, harp, hawaiian, healing, hi-nrg, historically informed performance, hoerspiel, hollywood, hopebeat, horror synth, horrorcore, hurdy-gurdy, hyphy, idol, instrumental acoustic guitar, instrumental grime, irish singer-songwriter, israeli mediterranean, italian disco, italian opera, j-division, j-idol, jam band, jamgrass, jamtronica, jawaiian, jersey club, jig and reel, jug band, jump up, jungle, k-hop, karaoke, kawaii future bass, kirtan, laboratorio, lds, lds youth, library music, light music, lilith, livetronica, lo-fi, lo-fi beats, lounge, louvor, lullaby, madchester, makossa, mambo, mangue bit, marching band, mariachi, mathcore, mbalax, meditation, medway sound, melancholia, melbourne bounce, melbourne bounce international, mellow gold, melodic deathcore, melodic thrash, memphis americana, merengue, merseybeat, messianic praise, miami bass, microtonal, middle earth, midwest emo, military cadence, minimal, minneapolis sound, mod revival, monastic, moog, moombahton, motown, movie tunes, mpb, music box, musica de fondo, musica infantil, musica para ninos, muzica crestina, nashville singer-songwriter, nashville sound, native american, neo mellow, neo-progressive, neo-psychedelic, neo-singer-songwriter, neue deutsche harte, neue deutsche welle, new age, new age piano, new americana, new beat, new england americana, new french touch, new jack smooth, new jack swing, new mexico music, new rave, new tribe, new wave, new weird america, nica, nightrun, ninja, nintendocore, no wave, norsk lovsang, norteno, north carolina emo, norwegian space disco, nova mpb, nu disco, nu gaze, nu-cumbia, nursery, nwobhm, nwocr, nwothm, nyhc, nz singer-songwriter, oi, old school nederhop, old school thrash, old-time, one-person band, opera, opm, oratory, orchestra, orchestral performance, orgcore, otacore, outsider, pagode, papuri, paracana, permanent wave, pernambuco alternative, perreo, phonk, pianissimo, piano cover, pinoy praise, pixie, polka, post-disco, post-grunge, post-screamo, power thrash, praise, prank, preverb, prog quebec, progressive alternative, progressive bluegrass, progressive deathcore, progressive psytrance, progressive sludge, progressive trance, progressive uplifting trance, psychedelic doom, psychedelic trance, psychobilly, queercore, quiet storm, radio symphony, ragtime, ranchera, rare groove, reading, recorder, red dirt, redneck, regional mexican, relaxative, renaissance, retro electro, rhythm game, riddim, riot grrrl, roots americana, rosary, rumba, sandalwood, schlager, scottish americana, scottish new wave, scottish singer-songwriter, screamo, screamocore, sertanejo, sertanejo tradicional, sertanejo universitario, shaabi, shamanic, shibuya-kei, shoegaze, show tunes, shred, singer-songwriter, sitar, ska, ska mexicano, ska revival, skinhead oi, slam poetry, slayer, sleep, slow core, slow game, small room, smooth saxophone, soca, solipsynthm, song poem, sound team, spacewave, spanish invasion, spanish new wave, steel guitar, steelpan, stomp and flutter, stomp and holler, stomp and whittle, straight edge, stride, string band, strut, sufi, surf music, swedish americana, swedish prog, swedish singer-songwriter, swing, tahitian, talent show, technical deathcore, technical groove, technical thrash, tejano, theme, thrash core, tico, tin pan alley, tipico, tollywood, tracestep, traditional ska, traditional swing, trance, trancecore, tribute, trip hop, trival, tropical, turntablism, tzadik, uk americana, uk garage, uplifting trance, usbm, vallenato, vapor twitch, vaporwave, vaudeville, vegan straight edge, video game music, vintage hollywood, violin, visual kei, vocal harmony group, vocal trance, vogue, volksmusik, wonky, workout product, wrestling, xhosa, ye ye, zapstep, zolo, zydeco"
